"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-21","0.00","D,,S","85","H,,S","97",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-22",,,"84","H,,S",,,"80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-23",,,"83","H,,S","91",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-24",,,"82","H,,S","87",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-25","1.46",",,S","81","H,,S","89",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-26","2.01",",,S","80","H,,S","85",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-27","2.13",",,S","80","H,,S",,,"77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-28",,,"80","H,,S","83",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-29",,,"80","H,,S","81",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-30",,,"80","H,,S",,,"75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-01",,,"81","H,,S","85",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-02",,,"80","H,,S","81",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-03","0.00","D,,S","82","H,,S","87",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-04","0.00","D,,S","83","H,,S","89",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-05","0.00","D,,S","84","H,,S","91",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-06","0.00","D,,S","86","H,,S","94",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-07",,,"85","H,,S",,,"79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-08","0.00","D,,S","86","H,,S","97",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-09","0.00","D,,S","86","H,,S","95",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-10","0.00","D,,S","86","H,,S","96",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-11","0.00","D,,S","86","H,,S","96",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-12",,,"84","H,,S","91",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-13",,,"84","H,,S","92",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-14","0.00","D,,S","86","H,,S","94",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-15",,,"84","H,,S","92",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-16","0.00","D,,S","85","H,,S","94",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-17",,,"83","H,,S","94",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-18","0.00","D,,S","85","H,,S","95",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-19",,,"85","H,,S","96",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-20",,,"85","H,,S","94",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-21",,,"85","H,,S","94",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-22",,,"85","H,,S","94",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-23",,,"85","H,,S","96",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-24",,,"87","H,,S","96",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-25","0.00",",,S","83","H,,S","88",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-26",,,"85","H,,S","95",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-27",,,"84","H,,S","90",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-28",,,"79","H,,S","80",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-07-29",,,"77","H,,S","79",",,S",,
